t,s,lateral,lateralV,speed,yawOffset,yawRate,lean,steer,slipFront,slipRear,grip,loadFracFront,longAccel,suspFront,suspRear,wheelie,airY,airVY,boost,slipstream,onRoad,airborne
3.051,54.6779476834101,0,0,25.87436002879032,0,0,0,0,0,0,1,0.14014531221747756,7.237320207491775,0.09802956896194903,-0.09802956896194903,0.33998964860758946,0,0,0,0.016378120228923432,1,0
3.081,55.545400536369726,0,0,26.11300853180758,0,0,0,0,0,0,1,0.14130479854468864,7.210237919706203,0.09766824512523598,-0.09766824512523598,0.3349114904074226,0,0,0,0.014778141827541079,1,0
3.1,55.98210488757164,0,0,26.231993569411628,0,0,0,0,0,0,1,0.14188486971138958,7.196689114598258,0.0974875526275619,-0.0974875526275619,0.33234440947310806,0,0,0,0.014042190364529557,1,0
3.129,56.86145058586949,0,0,26.469284743692448,0,0,0,0,0,0,1,0.14304569087614322,7.169575648821512,0.09712607694146731,-0.09712607694146731,0.3271590581150383,0,0,0,0.012670408928240546,1,0
3.151,57.30408438547804,0,0,26.587590616219952,0,0,0,0,0,0,1,0.14362648171882997,7.156010034138759,0.0969452822524094,-0.0969452822524094,0.32454254017291356,0,0,0,0.012039422563614188,1,0
3.178,58.19525500321994,0,0,26.823522403811193,0,0,0,0,0,0,1,0.14478884077871595,7.128860647525707,0.09658355197072238,-0.09658355197072238,0.3192658280734486,0,0,0,0.010863291493768926,1,0
3.201,58.64378426195555,0,0,26.941148042828882,0,0,0,0,0,0,1,0.14537044345420563,7.115276070748198,0.0964026061921764,-0.0964026061921764,0.3166070929760547,0,0,0,0.010319040589931109,1,0
3.228,59.54671176515599,0,0,27.17571821317974,0,0,0,0,0,0,1,0.146534516607292,7.088086647815395,0.0960405296188467,-0.0960405296188467,0.31125219709939206,0,0,0,0.009316855780598628,1,0
3.251,60.001102438297416,0,0,27.29266251336441,0,0,0,0,0,0,1,0.1471169903055714,7.074481726434154,0.09585939038405882,-0.09585939038405882,0.3085572579213554,0,0,0,0.008847286249256452,1,0
3.277,60.915718681238516,0,0,27.52586878907363,0,0,0,0,0,0,1,0.14828289593964883,7.04724950198106,0.0954968907106771,-0.0954968907106771,0.30313516877986196,0,0,0,0.007985516155201898,1,0
3.302,61.375936666197546,0,0,27.64213052581004,0,0,0,0,0,0,1,0.14886632435220953,7.033622281201964,0.09531552326135423,-0.09531552326135423,0.3004090343269032,0,0,0,0.007587837450672857,1,0
3.328,62.30217338465595,0,0,27.873970550470712,0,0,0,0,0,0,1,0.15003414555806832,7.006345314465119,0.09495253772729546,-0.09495253772729546,0.2949289075274091,0,0,0,0.006848743992033314,1,0
3.35,62.76818452002765,0,0,27.989548568386073,0,0,0,0,0,0,1,0.1506185469013644,6.9926953688038465,0.09477091421987718,-0.09477091421987718,0.29217576303322723,0,0,0,0.006505621918032448,1,0
